Link;Tipologia di sito;Data;Autore, professione;Fonti;Posizione;MOT-Health;MOT-Environment/Livestock;MOT-Allergies/Intolerance;MOT-Alternative Milk;Article's Thematic;FB's Likes;;;;;;;;;;;;;;;;;
http://www.huffingtonpost.com/2014/05/19/is-milk-bad-for-you_n_5311851.html;Magazine;05/14;Corrie Pikul, Journalist;"http://www.jaad.org/article/S0190-9622(09)00967-0/abstracthttps://www.aad.org/stories-and-news/news-releases/growing-evidence-suggests-possible-link-between-diet-and-acneGutbliss: A 10-Day Plan to Ban Bloat, Flush Toxins, and Dump Your Digestive Baggage Hardcover – October 3, 2013 by Dr. Robynne Chutkan M.D.http://www.niddk.nih.gov/health-information/health-topics/digestive-diseases/lactose-intolerance/Pages/facts.aspxhttp://www.hsph.harvard.edu/nutritionsource/calcium-full-story/#calcium-from-milkhttp://nutritiondata.self.com/facts/dairy-and-egg-products/69/2http://www.ncbi.nlm.nih.gov/pubmed/17158433http://ndb.nal.usda.gov/ndb/search/list";Neutral;Diseases;;;;Scientific Clarifications;33.690;;;;;;;;;;;;;;;;;
http://www.peta.org/living/food/reasons-stop-drinking-milk/;Organization;06/15;Michael Hammers, Music writer and producer;"http://www.bmj.com/content/349/bmj.g6015Diet and acne: a review of the evidence - Elsa H. Spencer PhD, Hope R. Ferdowsian MD, MPH andNeal D. Barnard MDhttp://nutritiondata.self.com/facts/dairy-and-egg-products/69/2http://ajcn.nutrition.org/content/89/5/1638S.fullhttps://secure.peta.org/site/Advocacy?cmd=display&page=UserAction&id=2055http://www.goldjournal.net/article/S0090-4295(00)00974-2/abstract";Cons;Diseases;;;;Every possible disease;3.553.011;;;;;;;;;;;;;;;;;
http://www.besthealthmag.ca/best-eats/nutrition/is-milk-bad-for-you;Magazine;03/10;Lisa Bendall, Journalist;"Dr. Dara Maker, a Toronto physicianCanada’s Food Guide 2008 study at Harvard Medical School2009 review at the universities of Reading, Cardiff and Bristol in the U.K.Dairy Farmers of Canada ";Pro;"HormonesNutrientsDiseases";;;;Milk is good;59.737;;;;;;;;;;;;;;;;;
http://drhyman.com/blog/2013/10/28/milk-dangerous-health/;Blog;11/14;Mark Hyman, MD;http://archpedi.jamanetwork.com/article.aspx?articleid=1704826;Cons*;"HormonesNutrientsDiseasesFitness";;Allergy;;Cow milk is bad;341.846;;;;;;;;;;;;;;;;;
http://www.independent.co.uk/life-style/health-and-families/health-news/milk-might-not-be-as-good-for-us-as-we-thought-study-suggests-9823870.html;Magazine;10/14;Charlie Cooper, Health Reporter;"Uppsala UniversityProfessor Mary Schooling, of City University of New York’s school of public health.British Medical JournalGaynor Bussell, a dietician and public health nutritionist";Neutral;"NutrientsDiseases";;;;Overview on milk's studies;3.433.642;;;;;;;;;;;;;;;;;
http://www.hsph.harvard.edu/nutritionsource/calcium-full-story/;University;;;"1. Osteoporosis: fast facts. National Osteoporosis Foundation. Accessed January 24, 2008.2. Owusu W, Willett WC, Feskanich D, Ascherio A, Spiegelman D, Colditz GA. Calcium intake and the incidence of forearm and hip fractures among men. J Nutr. 1997; 127:1782–87.3. Feskanich D, Willett WC, Stampfer MJ, Colditz GA. Milk, dietary calcium, and bone fractures in women: a 12-year prospective study. Am J Public Health. 1997; 87:992–97.4. Bischoff-Ferrari HA, Dawson-Hughes B, Baron JA, et al. Calcium intake and hip fracture risk in men and women: a meta-analysis of prospective cohort studies and randomized controlled trials. Am J Clin Nutr. 2007; 86:1780–90.5. Bischoff-Ferrari HA, Willett WC, Wong JB, Giovannucci E, Dietrich T, Dawson-Hughes B. Fracture prevention with vitamin D supplementation: a meta-analysis of randomized controlled trials. JAMA. 2005; 293:2257–64.6. Boonen S, Lips P, Bouillon R, Bischoff-Ferrari HA, Vanderschueren D, Haentjens P. Need for additional calcium to reduce the risk of hip fracture with vitamin D supplementation: evidence from a comparative meta-analysis of randomized controlled trials. J Clin Endocrinol Metab. 2007; 92:1415–23.7. Bischoff-Ferrari HA, Dawson-Hughes B, Willett WC, et al. Effect of vitamin D on falls: a meta-analysis. JAMA. 2004; 291:1999–2006.8. Weber P. Vitamin K and bone health. Nutrition. 2001; 17:880–87.9. Feskanich D, Weber P, Willett WC, Rockett H, Booth SL, Colditz GA. Vitamin K intake and hip fractures in women: a prospective study. Am J Clin Nutr. 1999; 69:74–79.10. Booth SL, Tucker KL, Chen H, et al. Dietary vitamin K intakes are associated with hip fracture but not with bone mineral density in elderly men and women. Am J Clin Nutr. 2000; 71:1201–08.11. Booth SL, Broe KE, Gagnon DR, et al. Vitamin K intake and bone mineral density in women and men. Am J Clin Nutr. 2003; 77(2):512-16.12. Tucker KL, Morita K, Qiao N, Hannan MT, Cupples LA, Kiel DP. Colas, but not other carbonated beverages, are associated with low bone mineral density in older women: the Framingham Osteoporosis Study. Am J Clin Nutr. 2006; 84:936–42.13. Feskanich D, Willett WC, Stampfer MJ, Colditz GA. Protein consumption and bone fractures in women. Am J Epidemiol. 1996; 143:472–79.14. Manson JE, Hsia J, Johnson KC, et al. Estrogen plus progestin and the risk of coronary heart disease. N Engl J Med. 2003; 349:523–34.15. Genkinger JM, Hunter DJ, Spiegelman D, et al. Dairy products and ovarian cancer: a pooled analysis of 12 cohort studies. Cancer Epidemiol Biomarkers Prev. 2006; 15:364–72.16. Ganmaa D, Sato A. The possible role of female sex hormones in milk from pregnant cows in the development of breast, ovarian, and corpus uteri cancers. Med Hypotheses. 2005; 65:1028–37.17. World Cancer Research Fund, American Institute for Cancer Research. Food, nutrition, physical activity, and the prevention of cancer: a global perspective. Washington DC: AICR, 2007.18. Giovannucci E, Rimm EB, Wolk A, et al. Calcium and fructose intake in relation to risk of prostate cancer. Cancer Res. 1998; 58:442–447.19. Giovannucci E, Liu Y, Platz EA, Stampfer MJ, Willett WC. Risk factors for prostate cancer incidence and progression in the Health Professionals Follow-up Study. International Journal of Cancer. 2007; 121:1571–78.20. Larsson SC, Bergkvist L, Rutegard J, Giovannucci E, Wolk A. Calcium and dairy food intakes are inversely associated with colorectal cancer risk in the Cohort of Swedish Men. Am J Clin Nutr. 2006; 83:667–73; quiz 728–29.21. Cho E, Smith-Warner SA, Spiegelman D, et al. Dairy foods, calcium, and colorectal cancer: a pooled analysis of 10 cohort studies. J Natl Cancer Inst. 2004; 96:1015–22.22. Martinez ME, Willett WC. Calcium, vitamin D, and colorectal cancer: a review of the epidemiologic evidence. Cancer Epidemiol Biomarkers. Prev 1998; 7:163–68.23. Hyman J, Baron JA, Dain BJ, et al. Dietary and supplemental calcium and the recurrence of colorectal adenomas. Cancer Epidemiol Biomarkers Prev. 1998; 7:291–95.24. Dickinson HO, Nicolson DJ, Cook JV, et al. Calcium supplementation for the management of primary hypertension in adults. Cochrane Database Syst Rev. 2006:CD004639.25. Cappuccio FP, Elliott P, Allender PS, Pryer J, Follman DA, Cutler JA. Epidemiologic association between dietary calcium intake and blood pressure: a meta-analysis of published data. Am J Epidemiol. 1995; 142:935–45.26. Bolland MJ, Avenell A, Baron JA, Grey A, MacLennan GS, Gamble GD, Reid IR. Effect of calcium supplements on risk of myocardial infarction and cardiovascular events: meta-analysis. BMJ. 2010; 341:c3691. doi: 10.1136/bmj.c3691.27. Feskanich D, Bischoff-Ferrari HA, Frazier AL, Willett WC. Milk consumption during teenage years and risk of hip fractures in older adults. JAMA Pediatr. 2014 Jan;168(1):54-60.";Neutral;"NutrientsDiseases";;Intolerance;;Calcium;64.735;;;;;;;;;;;;;;;;;
http://www.hsph.harvard.edu/nutritionsource/what-should-you-eat/calcium-and-milk/;University;;;;Neutral;Diseases;;;;Strong bones;64.735;;;;;;;;;;;;;;;;;
http://www.everydayhealth.com/columns/johannah-sakimura-nutrition-sleuth/is-milk-really-bad-for-your-bones/;Information;11/14;Johannah Sakimura, registered dietitian and nutrition communications expert;http://www.bmj.com/content/349/bmj.g6015http://nof.org/files/nof/public/content/resource/1375/files/749.pdf;Neutral;Diseases;;;;Studies about milk and how to kepp strong bones;1.069.832;;;;;;;;;;;;;;;;;
http://www.todaysdietitian.com/news/exclusive0912.shtml;Magazine;;Karen Giles-Smith, Masters of Science, Registered Dietitian;"1. Kris-Etherton P, Daniels SR, Eckel RH, et al. AHA scientific statement: summary of the Scientific Conference on Dietary Fatty Acids and Cardiovascular Health. Conference summary from the Nutrition Committee of the American Heart Association. J Nutr. 2001;131(4):1322-1326.2. Siri-Tarino PW, Sun Q, Hu FB, Krauss RM. Meta-analysis of prospective cohort studies evaluating the association of saturated fat with cardiovascular disease. Am J Clin Nutr. 2010;91(3):535-546.3. Lock AL, Destaillats F, Kraft J, German JB. Introduction to the proceedings of the symposium “Scientific Update on Dairy Fats and Cardiovascular Diseases.” J Am Coll Nutr. 2008;27(6):720S-722S.4. German JB, Gibson RG, Krauss RM, et al. A reappraisal of the impact of dairy foods and milk fat on cardiovascular disease risk. Eur J Nutr. 2009;48(4):191-203.5. de Oliveira Otto MC, Mozaffarian D, Kromhout D, et al. Dietary intake of saturated fat by food source and incident cardiovascular disease: the Multi-Ethnic Study of Atherosclerosis. Am J Clin Nutr. 2012;96(2):397-404.6. Gebauer SK, Chardigny JM, Jakobsen MU, et al. Effects of ruminant trans fatty acids on cardiovascular disease and cancer: A comprehensive review of epidemiological, clinical, and mechanistic studies. Adv Nutr. 2011;2(4):332-354.7. Elwood PC, Givens DI, Beswick AD, Fehily AM, Pickering JE, Gallacher J. The survival advantage of milk and dairy consumption: an overview of evidence from cohort studies of vascular diseases, diabetes and cancer. J Am Coll Nutr. 2008;27(6):723S-734S.8. Elwood PC, Pickering JE, Givens DI, Gallacher JE. The consumption of milk and dairy foods and the incidence of vascular disease and diabetes: an overview of the evidence. Lipids. 2010;45(10):925-939.";Pro;"DiseasesNutrients";;;;Why Milk Fat Does a Body Good;66.557;;;;;;;;;;;;;;;;;
http://www.asthmaaustralia.org.au/onAIR/Milk_-_good_or_bad_for_asthma.aspx;Foundations;;;"A study published in the medical journal ThoraxAustralian Nutrition Survey";Pro Milk in general;"DiseasesNutrients";;;;Is milk good or bad for asthma?;14.928;;;;;;;;;;;;;;;;;
http://www.foodrepublic.com/2015/04/16/5-milk-alternatives-the-good-the-bad-and-the-shockingly-creamy/;Information;04/15;Nicole Schnitzler, Freelance writer;"Monique Ryan (registered dietitian and nutritionist)Natasha Uspensky (holistic health and nutrition counselor)";Neutral;;;;;Alternatives to milk (lactose intolerance and diets);356.785;;;;;;;;;;;;;;;;;
http://www.bbcgoodfood.com/howto/guide/ingredient-focus-coconut-milk;Information;;Jo Lewin, Associate nutritionist;;Neutral;Nutrients;;;;Health benefits of coconut milk;437.688;;;;;;;;;;;;;;;;;
http://www.nytimes.com/2014/11/18/upshot/got-milk-might-not-be-doing-you-much-good.html?_r=0;Magazine;11/14;Aaron E. Carroll, Medicinae Doctor, Master of Science;American Academy of Pediatrics, World Health Organization, Institute of Medicine, United States Department of Agriculture, The Journal of Bone and Mineral Research, JAMA Pediatrics, The BMJ, American Journal of Clinical Nutrition, The Lancet, 1983 Dairy Production and Stabilization Act;Cons*;"DiseasesNutrientsCalories";;;;Showing why milk might not be good for health;125.170;;;;;;;;;;;;;;;;;
http://www.livestrong.com/article/430019-is-silk-soy-milk-good-or-bad-for-you/;Information;05/15;Erin Coleman, Registered Dietician, Licensed Dietician;"U.S. Department of Agriculture National Nutrient Database for Standard Reference: SILK Plain, SoymilkU.S. Department of Agriculture National Nutrient Database for Standard Reference: SILK Light Plain, SoymilkU.S. Department of Agriculture National Nutrient Database for Standard Reference: SILK Very Vanilla, SoymilkU.S. Department of Agriculture National Nutrient Database for Standard Reference: SILK Chocolate, SoymilkOregon State University: Soy IsoflavonesNew York University Langone Medical Center: Isoflavones";Neutral;"CaloriesNutrientDisease";;;;Pro and cons of soy milk;390.267;;;;;;;;;;;;;;;;;
http://www.theguardian.com/lifeandstyle/shortcuts/2015/oct/21/almond-milk-quite-good-for-you-very-bad-for-the-planet;Magazine;10/15;Emine Saner, writer;"British Dietetic AssociationTom Philpott, writer";Cons;;Water Waste;;;Why almond milk is bad for the planet;4.988.500;;;;;;;;;;;;;;;;;
http://www.dailymail.co.uk/health/article-329013/All-need-know-milk.html;Magazine;;Angela Epstein, journalist;National Osteoporosis Society;Neutral;"NutrientsDiseases";;;;Showing pro and cons of animal milk and plant milk;3.110.861;;;;;;;;;;;;;;;;;
http://www.naturalnews.com/051943_raw_milk_dairy_pasteurized.html#;Magazine;11/15;Jonathan Landsman, Medicinae Doctor;Mark McAfee;Neutral;;;;;Is milk good or bad?;1.611.930;;;;;;;;;;;;;;;;;
http://www.notmilk.com;Blog;;;;Cons;"DiseasesNutrients";;;;Campaign against milk;;;;;;;;;;;;;;;;;;
http://www.waoy.org/9.html;Blog;;Michael Dye, Certified Addictions Counselor;"Frank Oski, MD, author of Don't Drink Your Milk!Dr. William Ellis, retired osteopathic physician and surgeonDr. Russell Bunai, pediatricianDr. Christiane Northrup, gynecologistDan Baggett, pediatrician";Cons;"NutrientsDiseases";;Intolerance;;Milk unhealthy for humans;;;;;;;;;;;;;;;;;;
http://www.evolution-of-life.com/en/observe/video/fiche/good-milk-bad-milk.html;Blog;;Joachim Burger, Anthropology and ancient DNA;;Neutral;Nutrients;;;;Is milk good or bad?;222;;;;;;;;;;;;;;;;;
https://www.quora.com/Are-cows-milk-products-good-or-bad-for-human-health;Information;;John Tracy, Stan Harris, Phil Garcia, Prabha Karan;;Cons;Chemical agents;Livestock Practice;;;Is milk good or bad?;179.453;;;;;;;;;;;;;;;;;
http://www.mensfitness.com/nutrition/what-to-drink/milks-benefits-fit-guys;Magazine;;Michael Berg, NSCA-Certified Personal Trainer;"Kristin Reimers, Master of Science, Registered DieticianDebra Wein, Master of Science, Registered DieticianEssentials of Strength Training and Conditioning: National Strength and Conditioning Association (second edition)";Pro;Fitness;;;;Milk benefits for fitness;2.740.913;;;;;;;;;;;;;;;;;
http://hotair.com/archives/2015/10/07/surprise-whole-milk-may-be-good-for-you-after-all/;Information;10/15;Ed Morrissey, blogger;https://www.washingtonpost.com/news/wonk/wp/2015/10/06/for-decades-the-government-steered-millions-away-from-whole-milk-was-that-wrong/;Pro;Diseases;;;;Why whole milk may be good;784.370;;;;;;;;;;;;;;;;;
http://goaskalice.columbia.edu/answered-questions/milk-—-bad-or-good;Information;;Team of the website;;Neutral;"NutrientsChemical agentsHormones";;"AllergyIntolerance";;Pro and cons of milk;7898;;;;;;;;;;;;;;;;;
http://www.advantage4parents.com/article/is-chocolate-milk-good-or-bad/;Blog;06/15;Jill Castle, Medicinae Doctor,  Registered Dietician, Licensed Dietician/Nutrition;;Pro;Nutrients;;;;Is Chocolate Milk Good or Bad?;;;;;;;;;;;;;;;;;;
http://anhinternational.org/2015/02/25/milk-the-good-the-bad-and-the-not-for-everyone/;Blog;02/15;;;Neutral;"NutrientsDiseases";;;;Is milk good or bad?;22.831;;;;;;;;;;;;;;;;;
http://www.100daysofrealfood.com/2015/05/29/is-ultra-pasteurized-milk-bad/;Blog;05/29;;;Cons;Nutrients;;;;Is Paseurized Milk Bad?;1.628.363;;;;;;;;;;;;;;;;;
http://philmaffetone.com/casein/;Blog;;Dr. Phil Maffettone;;Neutral;Diseases;;;;Good and bad of Milk proteins;;;;;;;;;;;;;;;;;;
http://www.muscleprodigy.com/muscle-milk-good-bad/;Blog;06/13;Sam Reynolds;"http://www.thedp.com/article/2012/01/penn_med_study_shows_muscle_milk_may_treat_concussionshttp://www.webmd.com/food-recipes/news/20100603/report-protein-drinks-have-unhealthy-metalshttp://pogue972.blogspot.com/2006/09/t-mag-slams-muscle-milk.html#.Ub89oPnrxFYhttp://www.livestrong.com/article/246784-what-are-the-benefits-of-muscle-milk/http://www.ncbi.nlm.nih.gov/pubmed/18326600 http://www.ncbi.nlm.nih.gov/pubmed/12505422?dopt=AbstractPlus";Neutral;;;;;Muscle Milk;98.638;;;;;;;;;;;;;;;;;
http://fortune.com/2015/05/27/almond-milk-sales-soaring-health/;Magazine;05/15;Mark Koba, freelance journalist;Dr. Joel Schlessinger - dermatologist, Dr. Julie Lemale - researcher, Jeff Braverman, CEO of Nuts.com;Pro*;Nutrients;Water Waste;Intolerance;;Almond milk sales are soaring, but is it good for you?;;;;;;;;;;;;;;;;;;
http://www.healthyeating.org/Milk-Dairy/Dairy-Facts/Sugar-in-Milk.aspx;Information;;;"Frary CD, Johnson, RK, Wang MQ. Journal of Adolescent Health 2004;34, 56-63, Murphy MM et al. J Amer Diet Assoc 2008;108:631-9.";Pro;Nutrients;;;;Sugar in milk. is not a problem the percent of sugar present in milk.;64;;;;;;;;;;;;;;;;;
https://www.betterhealth.vic.gov.au/health/healthyliving/milk;Magazine;;;;Pro;Nutrients;;;;Milk is good. There is some inaccurate information around in the general community about the negative impacts of milk on health;14.950;;;;;;;;;;;;;;;;;
http://www.foodrenegade.com/just-say-no-to-uht-milk/;Blog;06/13;Kristen Michaelis;Journal of Diary Science, Hoffmann and van Mill - 1997, Colahan-Sederstrom and Peterson - 2005, Lee Dexter - mircobiologist;Cons;Diseases;;Intolerance;;why you have to not drink UHT milk;108.960;;;;;;;;;;;;;;;;;
http://www.agweb.com/blog/dairy-talk-199/fluid-milk-bad-news-then-good/;Information;09/15;Jim Dickrell, editor of Diary Today;Tom Gallagher, Diary Management, Inc. CEO;Neutral, analysis;;;;;Fluid Milk is in decline;10.291;;;;;;;;;;;;;;;;;
http://anhinternational.org/2015/02/25/milk-the-good-the-bad-and-the-not-for-everyone/;Information;02/12;;British Association for Applied Nutrition and Nutritional Therapy;Neutral, analyzing pros and cons;Diseases;Livestock Practice;Intolerance;;Milk it could be very good, but not for everyone;22.830;;;;;;;;;;;;;;;;;
https://www.sharecare.com/health/milk-nutrition/article/coconut-milk-really-good-for-you;Information;02/12;;Papers of Dr. Mehmet Oz MD and Michael Roizen MD;Neutral;"NutrientsCalories";;;;Is Coconut milk really good?;150.486;;;;;;;;;;;;;;;;;
http://www.ejnet.org/bgh/nogood.html;Activists Blog;;Mike Ewall;Wall street journal - Dec 89 / University Studies;Cons;Nutrients;Animal Exploitation;;;Cows forced do produce more milk, with hormones;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
